;0;8.768133273;17.4391938;26.31083616;35.08929915;43.85760113;52.53217146;61.16390036;69.79562926
0;293.484214;245.712424;169.366225;144.708643;112.900111;95.627855;79.100603;55.576496;44.217491
5;518.0330921;364.3871173;290.5068067;241.8703756;186.318082;122.1126068;101.3280042;66.9342193;50.85298605
10;1444.411773;1223.940792;1146.288311;966.4157292;834.7412251;610.9125405;498.443535;376.5524392;276.2103673
15;3565.714663;3369.331054;3637.870329;3468.290664;3224.28074;2687.279126;2343.71638;1920.187034;1553.481117
20;5993.352593;5904.670126;6684.028832;6681.121355;6595.848581;5844.091207;5379.965121;4591.795215;3961.141778
25;7665.557285;7882.47169;9158.976838;9489.185949;9700.093494;8798.668;8210.185236;7263.083643;6543.414112
30;8417.842555;8849.956688;10555.81311;11252.82587;11701.88591;10860.41007;10277.59001;9164.764433;8276.661891
35;8441.684576;8927.123296;10804.61688;11983.34975;12555.96753;11885.57634;11238.18186;10115.38652;9411.084576
40;7926.050894;8659.296832;10673.5651;11859.0321;12603.46636;12111.75725;11409.88207;10269.75901;9733.085501
45;7183.718444;7907.553374;10008.64185;11285.19929;12239.60474;11795.80226;11036.29859;10045.8097;9613.644794
50;6277.036248;7170.949218;9040.210795;10475.76721;11481.99843;11122.65209;10321.63313;9360.051239;9140.290698
55;5427.63897;6234.118056;8069.462284;9470.561783;10552.65888;10224.13938;9437.273251;8535.725712;8427.287785
60;4603.06806;5401.547388;7126.323874;8501.109603;9474.835826;9340.724919;8507.183527;7768.648948;7687.080225
65;3892.346769;4612.973241;6206.486996;7520.093194;8497.451554;8214.201101;7617.517438;6993.09837;6901.461225
70;3304.720699;3923.744076;5473.636563;6664.642342;7472.559987;7379.089593;6761.340995;6235.96001;6231.604949
75;2735.179863;3365.832023;4742.193839;5795.572543;6558.454065;6444.399988;5957.883114;5453.344247;5454.359613
80;2258.691017;2790.347069;4025.270947;5033.292328;5697.282725;5646.3236;5187.337217;4769.090752;4810.844701
85;1901.556026;2400.766262;3589.22174;4414.378887;4931.855551;4956.522298;4498.72822;4148.824663;4207.222688
90;1606.596072;2064.680671;3015.879457;3785.70116;4296.62635;4258.283419;3899.62327;3618.203931;3619.300818
95;1326.481057;1718.595276;2606.113054;3257.041689;3738.040278;3659.414777;3408.403248;3084.001556;3130.157245
100;1076.472067;1454.133354;2194.560624;2806.325317;3206.180112;3161.610043;2969.627977;2685.909419;2731.671226
105;912.4882757;1240.5122;1874.615167;2443.947898;2765.662117;2732.888167;2521.093144;2273.219174;2380.700677
110;765.8265392;1011.337588;1602.382541;2062.599664;2352.304693;2333.341658;2140.450531;1990.550774;2066.303991
115;671.9626228;850.6824148;1374.39478;1760.263713;2014.216856;2020.329446;1885.364878;1747.09873;1774.984777
120;532.9943351;736.0510613;1170.375902;1503.068664;1718.643501;1703.40234;1575.609107;1478.573445;1511.303392
125;436.7212401;619.6259701;993.7581031;1270.378059;1441.0014;1449.787506;1339.032661;1272.896377;1282.207985
130;385.546414;550.8751705;846.9117501;1080.939334;1286.883097;1252.141437;1155.183137;1062.968496;1077.721629
135;328.6797478;474.4702662;708.5615439;922.6299883;1054.670892;1058.961911;986.4891188;919.3686332;949.9764147
140;264.661882;370.8898641;613.5266052;789.3881278;903.1634931;904.9229143;835.8845852;783.2369865;803.2167778
145;225.0848504;341.1747261;521.9346252;673.1052441;773.8153375;756.579324;698.9824264;670.275823;677.2074365
