;0;11.3803268;22.63905111;33.91527027;45.17459238;56.43391448;67.54576012;78.65694598;89.76813184
0;1716.261703;1148.605812;858.540044;696.225708;537.789465;423.417481;347.536233;259.157225;214.551957
5;5256.00064;3346.980383;2268.775986;1690.685463;1151.035477;840.0879941;540.0106727;355.1887118;243.0608346
10;5405.079247;3377.955951;2082.95526;1536.613751;1032.68298;720.6106986;521.8397702;296.055581;194.4997336
15;12889.40124;8868.183179;5240.20361;2745.822097;1444.156173;748.033073;448.7938511;264.5559045;181.9946662
20;31036.40321;23238.46533;16867.87577;10064.64771;6145.435427;3121.919166;951.3938797;337.9587104;196.4033046
25;43639.71895;36133.98905;29462.17213;20751.57881;14127.44965;8843.499541;4994.38209;1896.537004;678.6975393
30;48612.89321;42536.12906;37480.49744;29900.75127;22521.98155;15726.04285;10477.58516;5131.805643;2622.621448
35;47336.61171;42759.6738;39834.57767;34055.10904;27620.59212;21537.03562;16015.26582;9203.672624;5140.819864
40;42933.29872;39226.33225;37651.34931;34075.48081;29463.61169;24740.48879;19675.49142;13278.16277;8173.073947
45;36769.83576;34130.64566;33396.82923;31240.55571;28607.78263;25405.01815;21495.89902;15920.90201;10861.02501
50;30976.24546;29154.12789;28456.48362;27351.00965;25872.70148;24182.25898;21469.63512;16920.69265;12424.01255
55;25434.25001;24159.31428;23467.79676;23383.92557;22453.21232;21740.26954;20007.31146;16799.27448;13204.88172
60;20498.453;19504.39917;19300.81114;19257.04866;19111.94139;19010.50933;17882.71826;15662.85289;13049.14932
65;16587.1476;15756.75743;15557.30636;15847.80342;15887.68298;15947.80698;15461.96009;14118.09119;12375.65014
70;13422.75223;12736.09929;12653.00457;12835.20087;13134.96381;13394.47928;13184.50731;12275.34688;11303.85779
75;10680.5425;10139.73399;10078.52897;10340.13141;10729.25298;10957.09901;10963.90177;10375.96208;9932.672868
80;8648.175138;8179.343999;8272.992018;8321.023295;8690.689642;8949.95035;9064.418665;8790.13963;8632.934965
85;6891.980444;6753.228451;6635.733755;6704.948166;7037.329534;7345.461122;7464.457539;7295.722515;7272.463251
90;5634.335241;5429.908642;5354.017581;5468.960361;5730.688269;5945.320133;5980.792293;6009.268438;6120.209184
95;4478.925158;4399.457054;4344.025079;4485.630989;4699.136836;4788.044391;4956.764352;4923.386123;5117.970795
100;3675.82262;3589.661925;3525.741446;3604.780692;3779.522472;3920.361027;4018.546356;4068.896668;4260.615269
105;2983.022878;2939.849375;2860.56728;2952.726311;3085.221136;3226.166191;3288.673445;3322.063475;3458.884731
110;2476.737533;2369.16987;2332.59967;2401.330701;2523.209401;2607.173717;2624.736098;2745.210442;2812.654833
115;2052.370948;1983.593777;1953.603339;1960.588686;2044.530676;2100.551192;2191.230811;2243.441065;2337.452497
120;1664.615737;1638.110888;1582.393999;1610.235826;1695.120752;1759.166538;1787.076459;1833.472319;1920.787469
125;1378.460244;1334.862486;1325.5342;1343.303941;1407.994041;1438.816816;1486.173348;1500.604045;1596.297592
130;1143.216936;1118.209568;1074.255017;1110.380232;1156.708147;1168.156232;1224.05755;1221.648007;1297.261703
135;972.5675398;931.8654254;882.6182552;917.659002;982.2138055;965.2306848;993.8998567;999.0066033;1063.178134
140;793.243125;776.0482473;737.0245334;768.647213;773.0456663;835.3881385;841.4617727;849.1613031;872.359241
145;676.3661337;621.964548;611.8906235;622.8912987;666.8889442;669.8115578;680.1620443;717.048578;715.8071636
